CVE,Vendor,Product,Type,Description,Date Discovered,Date Patched,Advisory,Analysis URL,Root Cause Analysis,Reported By
CVE-2023-36761,Microsoft,Word,???,Information disclosure vulnerability,???,2023-09-12,https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2023-36761,???,???,Microsoft Threat Intelligence
CVE-2023-41064,Apple,iOS/macOS,Memory Corruption,Buffer overflow in ImageIO,???,2023-09-07,https://support.apple.com/en-us/HT213905,???,???,The Citizen Lab at The University of Toronto's Munk School
CVE-2023-41061,Apple,iOS,Memory Corruption,A validation issue in Wallet,???,2023-09-07,https://support.apple.com/en-us/HT213905,???,???,Apple
CVE-2023-35674,Google,Android,Logic/Design Flaw,Ability to launch background activities due to logic error,???,2023-09-05,https://source.android.com/docs/security/bulletin/2023-09-01,???,???,???
CVE-2023-4762,Google,Chrome,Memory Corruption,Type confusion in V8,2023-08-16,2023-09-05,https://chromereleases.googleblog.com/2023/09/stable-channel-update-for-desktop.html,https://blog.google/threat-analysis-group/0-days-exploited-by-commercial-surveillance-vendor-in-egypt/,???,???
CVE-2023-38831,WinRAR,WinRAR,Logic/Design Flaw,Issue in the processing of the ZIP format,2023-07-10,2023-08-02,https://www.win-rar.com/singlenewsview.html?&L=0&tx_ttnews%5Btt_news%5D=232&cHash=c5bf79590657e32554c6683296a8e8aa,https://www.group-ib.com/blog/cve-2023-38831-winrar-zero-day/,???,Andrey Polovinkin of Group-IB Threat Intelligence
CVE-2023-37580,Synacor,Zimbra,XSS,Reflected XSS in /m/moveto,2023-06-29,2023-07-26,https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P41,???,???,Clement Lecigne of the Google Threat Analysis Group
CVE-2023-38606,Apple,iOS/macOS,Memory Corruption,Unspecified kernel vulnerability against pre-iOS 15.7.1,???,2023-07-24,https://support.apple.com/en-us/HT213841,???,???,"Valentin Pashkov, Mikhail Vinogradov, Georgy Kucherin (@kucher1n), Leonid Bezvershenko (@bzvr_), and Boris Larin (@oct0xor) of Kaspersky"
CVE-2023-32409,Apple,iOS/macOS,Memory Corruption,Unspecificed kernel vulnerability affection iOS 15,???,2023-07-24,https://support.apple.com/en-us/HT213842,???,???,Clément Lecigne of Google's Threat Analysis Group and Donncha Ó Cearbhaill of Amnesty International’s Security Lab
CVE-2023-41990,Apple,iOS/macOS,Memory Corruption,TrueType font remote code execution in iOS 15.7,???,2023-07-24,https://support.apple.com/en-us/HT213842,???,???,"Apple, Valentin Pashkov, Mikhail Vinogradov, Georgy Kucherin (@kucher1n), Leonid Bezvershenko (@bzvr_), and Boris Larin (@oct0xor) of Kaspersky"
CVE-2023-32046,Microsoft,Windows,Memory Corruption,MSHTML Platform Elevation of Privilege,???,2023-07-11,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-32046,???,???,Microsoft Threat Intelligence Center (MSTIC)
CVE-2023-36874,Microsoft,Windows,Logic/Design Flaw,Windows Error Reporting Service Elevation of Privilege,2023-06-30,2023-07-11,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36874,???,???,Vlad Stolyarov and Maddie Stone of Google's Threat Analysis Group (TAG)
CVE-2023-37450,Apple,WebKit,Memory Corruption,Unspecified memory corruption ,???,2023-07-10,https://support.apple.com/en-us/HT213823,???,???,???
CVE-2023-32434,Apple,iOS/macOS,Memory Corruption,Integer overflow in the XNU kernel,???,2023-06-21,https://support.apple.com/en-us/HT213814,https://securelist.com/operation-triangulation/109842/,???,"Georgy Kucherin (@kucher1n), Leonid Bezvershenko (@bzvr_), and Boris Larin (@oct0xor) of Kaspersky"
CVE-2023-32435,Apple,WebKit,Memory Corruption,Unspecified memory corruption affecting iOS 15.7.6,???,2023-06-21,https://support.apple.com/en-us/HT213811,https://securelist.com/operation-triangulation/109842/,???,"Georgy Kucherin (@kucher1n), Leonid Bezvershenko (@bzvr_), and Boris Larin (@oct0xor) of Kaspersky"
CVE-2023-32439,Apple,WebKit,Memory Corruption,Type confusion ,???,2023-06-21,https://support.apple.com/en-us/HT213814,???,???,???
CVE-2023-3079,Google,Chrome,Memory Corruption,Type confusion in V8,2023-06-01,2023-06-05,https://chromereleases.googleblog.com/2023/06/stable-channel-update-for-desktop.html,???,???,Clément Lecigne of Google's Threat Analysis Group
CVE-2023-2868,Barracuda,Email Security Gateway,Logic/Design Flaw,Remote command injection due to incomplete input validation,2023-05-18,2023-05-30,https://www.barracuda.com/company/legal/esg-vulnerability,???,???,???
CVE-2023-32409,Apple,WebKit,Memory Corruption,WebContext sandbox escape,???,2023-05-18,https://support.apple.com/en-us/HT213757,???,???,Clément Lecigne of Google's Threat Analysis Group and Donncha Ó Cearbhaill of Amnesty International’s Security Lab
CVE-2023-29336,Microsoft,Windows,Memory Corruption,Win32k Elevation of Privilege,???,2023-05-09,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29336,???,???,"Jan Vojtěšek, Milánek, and Luigino Camastra with Avast"
CVE-2023-0266,Google,Android,Memory Corruption,Race condition in the Linux kernel sound subsystem,2023-01-12,2023-05-01,https://source.android.com/docs/security/bulletin/2023-05-01#2023-05-05-security-patch-level-vulnerability-details,https://blog.google/threat-analysis-group/spyware-vendors-use-0-days-and-n-days-against-popular-platforms/,???,Clement Lecigne of the Google Threat Analysis Group
CVE-2023-21492,Samsung,Android,Logic/Design Flaw,Kernel pointers exposure in log file,2021-01-17,2023-05-01,https://security.samsungmobile.com/securityUpdate.smsb,???,???,Clement Lecigne of the Google Threat Analysis Group
CVE-2023-28204,Apple,WebKit,Memory Corruption,Out-of-bounds read,???,2023-05-01,https://support.apple.com/en-us/HT213757,???,???,???
CVE-2023-32373,Apple,WebKit,Memory Corruption,Use-after-free in WebKit,???,2023-05-01,https://support.apple.com/en-us/HT213757,???,???,???
CVE-2023-2136,Google,Chrome,Memory Corruption,Integer overflow in Skia,2023-04-12,2023-04-18,https://chromereleases.googleblog.com/2023/04/stable-channel-update-for-desktop_18.html,???,???,Clement Lecigne of the Google Threat Analysis Group
CVE-2023-2033,Google,Chrome,Memory Corruption,Type confusion in V8,2023-04-11,2023-04-14,https://chromereleases.googleblog.com/2023/04/stable-channel-update-for-desktop_14.html,???,???,Clement Lecigne of the Google Threat Analysis Group
CVE-2023-28252,Microsoft,Windows,Memory Corruption,Common Log File System Driver Elevation of Privilege,???,2023-04-11,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-28252,https://securelist.com/nokoyawa-ransomware-attacks-with-windows-zero-day/109483/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2023/CVE-2023-28252.html,"Boris Larin (oct0xor), Genwei Jiang with Mandiant, Quan Jin with DBApp Security WeBin Lab"
CVE-2023-28206,Apple ,iOS/macOS,Memory Corruption,Out-of-bounds write in IOSurfaceAccelerator,???,2023-04-07,https://support.apple.com/en-us/HT213721,???,???,Clément Lecigne of Google's Threat Analysis Group and Donncha Ó Cearbhaill of Amnesty International’s Security Lab
CVE-2023-28205,Apple,WebKit,Memory Corruption,Use-after-free in WebKit,???,2023-04-07,https://support.apple.com/en-us/HT213721,???,???,Clément Lecigne of Google's Threat Analysis Group and Donncha Ó Cearbhaill of Amnesty International’s Security Lab
CVE-2023-26083,ARM,Android,Memory Corruption,Information leak in Mali GPU,2023-01-12,2023-03-31,https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities,https://blog.google/threat-analysis-group/spyware-vendors-use-0-days-and-n-days-against-popular-platforms/,???,Clement Lecigne of the Google Threat Analysis Group
CVE-2023-23397,Microsoft,Outlook,Logic/Design Flaw,Outlook Elevation of Privilege,???,2023-03-14,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-23397,???,???,"CERT-UA, Microsoft Incident, Microsoft Threat Intelligence (MSTI)"
CVE-2023-21768,Microsoft,Windows,Memory Corruption,AFD for WinSock Elevation of Privilege,???,2023-03-14,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-21768,https://securityintelligence.com/posts/patch-tuesday-exploit-wednesday-pwning-windows-ancillary-function-driver-winsock/,???,???
CVE-2023-20963,Google,Android,Logic/Design Flaw,Framework vulnerability in Parcels,???,2023-03-06,https://source.android.com/docs/security/bulletin/2023-03-01,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2023/CVE-2023-20963.html,Sergey Toshin (@bagipro) from Oversecured Inc. (https://oversecured.com/)
CVE-2023-21823,Microsoft,Windows,Memory Corruption,Windows Graphics Component RCE,???,2023-02-14,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-21823,???,???,Genwei Jiang & Dhanesh Kizhakkinan of Mandiant
CVE-2023-23376,Microsoft,Windows,Memory Corruption,Common Log File System Driver EoP,???,2023-02-14,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-23376,???,???,Microsoft Threat Intelligence Center (MSTIC) & Microsoft Security Response Center (MSRC)
CVE-2023-23529,Apple,WebKit,Memory Corruption,Type confusion,???,2023-02-13,https://support.apple.com/en-us/HT213638,???,???,???
CVE-2023-21674,Microsoft,Windows,Memory Corruption,ALPC elevation of privilege,???,2023-01-10,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2023-21674,???,???,"Jan Vojtěšek, Milánek, and Przemek Gmerek with Avast"
CVE-2022-27518,Citrix,ADC/Gateway,Logic/Design Flaw,Improper access restrictions in SAML SP & IdP systems,???,2022-12-13,https://support.citrix.com/article/CTX474995/citrix-adc-and-citrix-gateway-security-bulletin-for-cve202227518,???,???,???
CVE-2022-42475,Fortinet,FortiOS,Memory Corruption,Heap buffer overflow in sslvpnd,???,2022-12-12,https://fortiguard.fortinet.com/psirt/FG-IR-22-398,???,???,???
CVE-2022-4262,Google,Chrome,Memory Corruption,Type confusion in V8,2022-11-29,2022-12-02,https://chromereleases.googleblog.com/2022/12/stable-channel-update-for-desktop.html,https://blog.google/threat-analysis-group/spyware-vendors-use-0-days-and-n-days-against-popular-platforms/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-4262.html,Clement Lecigne of Google's Threat Analysis Group
CVE-2022-42856,Apple,WebKit,Memory Corruption,Type confusion ,???,2022-11-30,https://support.apple.com/en-us/HT213516,https://blog.google/threat-analysis-group/spyware-vendors-use-0-days-and-n-days-against-popular-platforms/,???,Clément Lecigne of Google's Threat Analysis Group
CVE-2022-4135,Google,Chrome,Memory Corruption,Heap buffer overflow in GPU,2022-11-22,2022-11-24,https://chromereleases.googleblog.com/2022/11/stable-channel-update-for-desktop_24.html,https://blog.google/threat-analysis-group/spyware-vendors-use-0-days-and-n-days-against-popular-platforms/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-4135.html,Clement Lecigne of Google's Threat Analysis Group
CVE-2022-41040,Microsoft,Exchange Server,Logic/Design Flaw,Server-side request forgery,???,2022-11-08,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41040,???,???,DA-0x43-Dx4-DA-Hx2-Tx2-TP-S-Q from GTSC working with Trend Micro Zero Day Initiative
CVE-2022-41082,Microsoft,Exchange Server,Logic/Design Flaw,Remote code execution,???,2022-11-08,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41082,???,???,Piotr Bazydlo (@chudypb) and DA-0x43-Dx4-DA-Hx2-Tx2-TP-S-Q from GTSC working with Trend Micro Zero Day Initiative
CVE-2022-41128,Microsoft,Internet Explorer,Memory Corruption,JScript9 remote code execution,???,2022-11-08,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41128,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-41128.html,Clément Lecigne of Google’s Threat Analysis Group
CVE-2022-41073,Microsoft,Windows,Logic/Design Flaw,Print spooler elevation of privilege,???,2022-11-08,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41073,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-41073.html,Microsoft Threat Intelligence Center (MSTIC)
CVE-2022-41125,Microsoft,Windows,Memory Corruption,CNG Key Isolation Service elevation of privilege,???,2022-11-08,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41125,???,???,Microsoft Threat Intelligence Center (MSTIC) and Microsoft Security Response Center (MSRC)
CVE-2022-3723,Google,Chrome,Memory Corruption,Type confusion in V8,2022-10-25,2022-10-27,https://chromereleases.googleblog.com/2022/10/stable-channel-update-for-desktop_27.html,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-3723.html,"Jan Vojtěšek, Milánek, and Przemek Gmerek of Avast"
CVE-2022-42827,Apple,iOS,Memory Corruption,Out-of-bounds write in the kernel,???,2022-10-24,https://support.apple.com/en-us/HT213489,???,???,???
CVE-2022-41033,Microsoft,Windows,Memory Corruption,COM+ event system service elevation of privilege,???,2022-10-11,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-41033,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-41033.html,???
CVE-2022-3236,Sophos,Firewall,Logic/Design Flaw,Code injection allowing RCE,2022-09-16,2022-09-23,https://www.sophos.com/en-us/security-advisories/sophos-sa-20220923-sfos-rce,https://news.sophos.com/en-us/2022/10/19/covert-channels/,???,Sophos X-Ops
CVE-2022-32917,Apple,iOS/macOS,Memory Corruption,Unspecified kernel vulnerability,???,2022-09-12,https://support.apple.com/en-us/HT213445,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-32917.html,???
CVE-2022-3075,Google,Chrome,Logic/Design Flaw,Insufficient data validation in Mojo,2022-08-30,2022-09-02,https://chromereleases.googleblog.com/2022/09/stable-channel-update-for-desktop.html,???,???,???
CVE-2022-32894,Apple,iOS/macOS,Memory Corruption,Kernel out-of-bounds write,???,2022-08-17,https://support.apple.com/en-us/HT213413,???,???,???
CVE-2022-32893,Apple,WebKit,Memory Corruption,Out-of-bounds write,???,2022-08-17,https://support.apple.com/en-us/HT213413,???,???,???
CVE-2022-2856,Google,Chrome,Logic/Design Flaw,Insufficient validation of untrusted input in Intents,2022-07-19,2022-08-16,https://chromereleases.googleblog.com/2022/08/stable-channel-update-for-desktop_16.html,???,???,Ashley Shen and Christian Resell of Google Threat Analysis Group
CVE-2022-22047,Microsoft,Windows,Logic/Design Flaw,CSRSS Elevation of Privilege,???,2022-07-12,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-22047,https://www.zerodayinitiative.com/blog/2023/1/23/activation-context-cache-poisoning-exploiting-csrss-for-privilege-escalation,???,Microsoft Threat Intelligence Center (MSTIC) and Microsoft Security Response Center (MSRC)
CVE-2022-2294,Google,Chrome,Memory Corruption,Buffer overflow in WebRTC,2022-07-01,2022-07-04,https://chromereleases.googleblog.com/2022/07/stable-channel-update-for-desktop.html,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-2294.html,Jan Vojtesek from the Avast Threat Intelligence team
CVE-2022-30190,Microsoft,Windows,Logic/Design Flaw,Microsoft Windows Support Diagnostic Tool (MSDT) Remote Code Execution Vulnerability,???,2022-06-14,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-30190,https://doublepulsar.com/follina-a-microsoft-office-code-execution-vulnerability-1a47fce5629e,???,crazyman with Shadow Chaser Group
CVE-2022-26134,Atlassian,Confluence Server & Data Center,Logic/Design Flaw,Unauthenticated Remote Code Execution,2022-05-31,2022-06-03,https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html,https://www.volexity.com/blog/2022/06/02/zero-day-exploitation-of-atlassian-confluence/,???,Volexity
CVE-2022-26925,Microsoft,Windows,Logic/Design Flaw,Windows LSA Spoofing Vulnerability,???,2022-05-10,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-26925,???,???,Raphael John with Bertelsmann Printing Group
CVE-2022-1364,Google,Chrome,Memory Corruption,Type confusion in V8,2022-04-13,2022-04-14,https://chromereleases.googleblog.com/2022/04/stable-channel-update-for-desktop_14.html,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-1364.html,Clément Lecigne of Google's Threat Analysis Group
CVE-2022-24521,Microsoft,Windows,Logic/Design Flaw,Windows Common Log File System Driver Elevation of Privilege,???,2022-04-12,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-24521,https://www.pixiepointsecurity.com/blog/nday-cve-2022-24521.html,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-24521.html,"National Security Agency, Adam Podlosky and Amir Bazine of Crowdstrike"
CVE-2022-22674,Apple,macOS,Memory Corruption,Out-of-bounds read in Intel Graphics Driver,???,2022-03-31,https://support.apple.com/en-us/HT213220,???,???,???
CVE-2022-22675,Apple,iOS/macOS,Memory Corruption,Out-of-bounds write in AppleAVD,???,2022-03-31,https://support.apple.com/en-us/HT213220,???,https://googleprojectzero.github.io/0days-in-the-wild/0day-RCAs/2022/CVE-2022-22675.html,???
CVE-2022-26871,Trend Micro,Apex Central,Logic/Design Flaw,Arbitrary file upload remote code execution,???,2022-03-31,https://success.trendmicro.com/dcx/s/solution/000290678?language=en_US,???,???,Trend Micro Research
CVE-2022-1040,Sophos,Firewall,Logic/Design Flaw,Authentication bypass allowing RCE,???,2022-03-25,https://www.sophos.com/en-us/security-advisories/sophos-sa-20220325-sfos-rce ,https://news.sophos.com/en-us/2022/06/15/sophos-uncovers-how-apt-groups-carried-out-highly-targeted-attack/,???,???
CVE-2022-1096,Google,Chrome,Memory Corruption,Type confusion in V8,2022-03-23,2022-03-25,https://chromereleases.googleblog.com/2022/03/stable-channel-update-for-desktop_25.html,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-1096.html,???
CVE-2021-22600,Google,Android,Memory Corruption,Double free in packet_set_ring,???,2022-03-07,https://source.android.com/security/bulletin/pixel/2022-03-01,???,???,???
CVE-2021-39793,ARM,Android,Memory Corruption,Out-of-bounds write in mali_base_mem,???,2022-03-07,https://source.android.com/security/bulletin/pixel/2022-03-01,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2021/CVE-2021-39793.html,???
CVE-2022-26485,Mozilla,Firefox,Memory Corruption,Use-after-free inXSLT parameter processing,??? ,2022-03-05,https://www.mozilla.org/en-US/security/advisories/mfsa2022-09/,???,???,"Wang Gang, Liu Jialei, Du Sihang, Huang Yi & Yang Kang of 360 ATA"
CVE-2022-26486,Mozilla,Firefox,Memory Corruption,Use-after-free in WebGPU IPC Framework,???,2022-03-05,https://www.mozilla.org/en-US/security/advisories/mfsa2022-09/,???,???,"Wang Gang, Liu Jialei, Du Sihang, Huang Yi & Yang Kang of 360 ATA"
CVE-2022-0609,Google,Chrome,Memory Corruption,Use-after-free in Animation,2022-02-10,2022-02-15,https://chromereleases.googleblog.com/2022/02/stable-channel-update-for-desktop_14.html,https://blog.google/threat-analysis-group/countering-threats-north-korea/,???,Adam Weidemann and Clément Lecigne of Google's Threat Analysis Group
CVE-2022-22620,Apple,WebKit,Memory Corruption,Unspecified use-after-free,???,2022-02-10,https://support.apple.com/en-us/HT213093,https://googleprojectzero.blogspot.com/2022/06/an-autopsy-on-zombie-in-wild-0-day.html,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-22620.html,???
CVE-2022-24682,Synacor,Zimbra Collaboration Suite,XSS,XSS in calendar using /h/calendar,2021-12-16,2022-02-05,https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P30#Security_Hotfix_Alert,https://www.volexity.com/blog/2022/02/03/operation-emailthief-active-exploitation-of-zero-day-xss-vulnerability-in-zimbra/,???,Volexity
CVE-2022-22587,Apple,iOS/macOS,Memory Corruption,Memory corruption in IOMobileFrameBuffer,???,2022-01-26,https://support.apple.com/en-us/HT213053,???,???,"Meysam Firouzi (@R00tkitSMM) of MBition - Mercedes-Benz Innovation Lab, Siddharth Aeri (@b1n4r1b01), & an anonymous reporter"
CVE-2022-21882,Microsoft,Windows,Memory Corruption,Win32k Elevation of Privilege,???,2022-01-11,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-21882,???,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2022/CVE-2022-21882.html,Big CJTeam of Tianfu Cup & RyeLv (@b2ahex)
CVE-2021-30983,Apple,iOS,Memory Corruption,Buffer overflow in IOMobileFrameBuffer,???,2021-12-13,https://support.apple.com/en-us/HT212976,https://googleprojectzero.blogspot.com/2022/06/curious-case-carrier-app.html,???,Pangu via Tianfu Cup
CVE-2021-4102,Google,Chrome,Memory Corruption,Use-after-free in V8,2021-12-09,2021-12-13,https://chromereleases.googleblog.com/2021/12/stable-channel-update-for-desktop_13.html,???,???,???
CVE-2021-42292,Microsoft,Office,Logic/Design Flaw,Excel security feature bypass,???,2021-11-09,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2021-42292 ,https://twitter.com/HaifeiLi/status/1486133229614616577,???,Microsoft Threat Intelligence Center (MSTIC)
CVE-2021-42321,Microsoft,Exchange Server,Logic/Design Flaw,Remote code execution,???,2021-11-09,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2021-42321,https://peterjson.medium.com/some-notes-about-microsoft-exchange-deserialization-rce-cve-2021-42321-110d04e8852,???,"Microsoft Security Response Center, Microsoft Threat Intelligence Center (MSTIC), Yuhao Weng with Sangfor, and 漏洞研究院青训队 with Tianfu"
CVE-2021-1048,Google,Android,Memory Corruption,Use-after-free in ep_loop_check_proc,???,2021-11-06,https://source.android.com/security/bulletin/2021-11-01#2021-11-06-security-patch-level-vulnerability-details,https://blog.google/threat-analysis-group/protecting-android-users-from-0-day-attacks/ ,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2021/CVE-2021-1048.html,Clément Lecigne and Christian Resell from Google's Threat Analysis Group
CVE-2021-0920,Google,Android,Memory Corruption,Race condition during SCM_RIGHTS garbage collection,???,2021-11-05,https://source.android.com/security/bulletin/2021-11-01#kernel-components,https://googleprojectzero.blogspot.com/2022/08/the-quantum-state-of-linux-kernel.html ,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2021/CVE-2021-0920.html,???
CVE-2021-38000,Google,Chrome,Logic/Design Flaw,Insufficient validation of untrusted input in Intents,2021-09-15,2021-10-28,https://chromereleases.googleblog.com/2021/10/stable-channel-update-for-desktop_28.html,https://blog.google/threat-analysis-group/protecting-android-users-from-0-day-attacks/ ,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2021/CVE-2021-38000.html ,"Clement Lecigne, Neel Mehta, and Maddie Stone of Google Threat Analysis Group"
CVE-2021-38003,Google,Chrome,Memory Corruption,Inappropriate implementation in V8,2021-10-26,2021-10-28,https://chromereleases.googleblog.com/2021/10/stable-channel-update-for-desktop_28.html,https://blog.google/threat-analysis-group/protecting-android-users-from-0-day-attacks/ ,???,Clément Lecigne from Google TAG and Samuel Groß from Google Project Zero
CVE-2021-40449,Microsoft,Windows,Memory Corruption,Use-after-free in Win32k,???,2021-10-12,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-40449,https://securelist.com/mysterysnail-attacks-with-windows-zero-day/104509/,???,Boris Larin (oct0xor) with Kaspersky
CVE-2021-30883,Apple,iOS,Memory Corruption,A memory corruption issue in IOMobileFrameBuffer,???,2021-10-11,https://support.apple.com/en-us/HT212846,https://saaramar.github.io/IOMFB_integer_overflow_poc/,???,???
CVE-2021-41773,Apache,HTTP Server,Logic/Design Flaw,Path traversal & file disclosure vulnerability,2021-09-29,2021-10-04,https://httpd.apache.org/security/vulnerabilities_24.html,???,???,Ash Daulton along with the cPanel Security Team
CVE-2021-25487,Samsung,Android,Memory Corruption,Arbitrary code execution via OOB read in modem interface driver,2021-07-26,2021-10-01,https://security.samsungmobile.com/securityUpdate.smsb,???,???,???
CVE-2021-25489,Samsung,Android,Memory Corruption,Format string bug in modem interface driver,2021-07-16,2021-10-01,https://security.samsungmobile.com/securityUpdate.smsb,???,???,???
CVE-2021-37975,Google,Chrome,Memory Corruption,Use-after-free in V8,2021-09-24,2021-09-30,https://chromereleases.googleblog.com/2021/09/stable-channel-update-for-desktop_30.html,https://securitylab.github.com/research/in_the_wild_chrome_cve_2021_37975/,https://googleprojectzero.github.io/0days-in-the-wild//0day-RCAs/2021/CVE-2021-37975.html,???
CVE-2021-37976,Google,Chrome,Memory Corruption,Information leak in Core,2021-09-21,2021-09-30,https://chromereleases.googleblog.com/2021/09/stable-channel-update-for-desktop_30.html,https://blog.google/threat-analysis-group/protecting-android-users-from-0-day-attacks/ ,???,"Clément Lecigne from Google TAG, with technical assistance from Sergei Glazunov and Mark Brand from Google Project Zero"
