,cve,vectorString,Exploitation,Automatable,TechnicalImpact,base_vector,cisa_kev,nuclei,metasploit,exploitdb,poc_github,_Exploitation,KeyPhrases
22,CVE-2022-25481,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Poc,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,True,False,False,False,Poc,['access all system environment parameters']
23,CVE-2022-40828,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['sql injection']
24,CVE-2022-40824,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['sql injection']
25,CVE-2022-40536,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['improper authentication', 'transient dos', 'dos']"
26,CVE-2022-40218,,None,Yes,Partial,,False,False,False,False,False,None,
27,CVE-2022-40833,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['sql injection']
28,CVE-2022-40225,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,
29,CVE-2022-40527,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['reachable assertion', 'transient dos', 'dos']"
30,CVE-2022-40512,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['buffer over-read', 'transient dos', 'dos']"
31,CVE-2022-40745,,None,No,Partial,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,
32,CVE-2022-40533,,None,Yes,Partial,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['transient dos', 'dos', 'pointer dereference']"
33,CVE-2022-40502,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['transient dos', 'dos', 'improper input validation']"
34,CVE-2022-40538,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['reachable assertion', 'dos']"
35,CVE-2022-40826,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['sql injection']
36,CVE-2022-40827,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['sql injection']
37,CVE-2022-40535,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['buffer over-read', 'dos']"
38,CVE-2022-40201,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['execute arbitrary code', 'stack-based buffer overflow']"
39,CVE-2022-40702,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,False,False,False,False,False,None,
40,CVE-2022-31814,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Poc,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,True,True,True,True,Poc,"['execute arbitrary os commands', 'execute arbitrary os commands as root', 'shell metacharacters']"
41,CVE-2022-44581,,None,No,Partial,,False,False,False,False,False,None,
42,CVE-2022-44587,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,
43,CVE-2022-44593,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,False,False,False,False,False,None,
44,CVE-2022-44679,,None,No,Partial,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,False,False,False,False,False,None,['information disclosure']
45,CVE-2022-44680,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['windows graphics component elevation of privilege']
46,CVE-2022-44633,,None,Yes,Partial,,False,False,False,False,False,None,
47,CVE-2022-44023,,Poc,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,False,False,False,False,False,None,"['response messages', 'identify disabled user account names']"
48,CVE-2022-44669,,None,No,Total,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
49,CVE-2022-21443,,None,No,Partial,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:L,False,False,False,False,False,None,"['compromise oracle java se', 'partial denial of service (partial', 'apis', 'availability impacts', 'availability', 'denial of service (partial dos)']"
50,CVE-2022-30222,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
51,CVE-2022-30220,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['windows common log file system driver elevation of privilege']
52,CVE-2022-30332,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,False,False,False,False,False,None,['enumerate accounts']
53,CVE-2022-30226,,None,No,Partial,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
54,CVE-2022-30284,,Poc,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['remote command execution', 'does not validate arguments)', 'call nmapprocess with arguments taken']"
55,CVE-2022-45368,,None,No,Partial,,False,False,False,False,False,None,
56,CVE-2022-45850,,None,No,Partial,,False,False,False,False,False,None,
57,CVE-2022-45352,,None,No,Partial,,False,False,False,False,False,None,
58,CVE-2022-45349,,None,No,Partial,,False,False,False,False,False,None,
59,CVE-2022-45851,,None,No,Partial,,False,False,False,False,False,None,
60,CVE-2022-45847,,None,No,Partial,,False,False,False,False,False,None,
61,CVE-2022-45374,,Poc,No,Partial,,False,False,False,False,False,None,
62,CVE-2022-45378,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['arbitrary remote code execution']
63,CVE-2022-45929,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,Poc,No,Partial,,False,False,False,False,False,None,
64,CVE-2022-45070,,None,No,Partial,,False,False,False,False,False,None,
65,CVE-2022-45803,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,
66,CVE-2022-45852,,None,Yes,Partial,,False,False,False,False,False,None,
67,CVE-2022-45063,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['code execution', 'command execution']"
68,CVE-2022-45351,,None,No,Partial,,False,False,False,False,False,None,
69,CVE-2022-34381,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,
70,CVE-2022-34309,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,
71,CVE-2022-34145,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['buffer over-read', 'transient dos', 'dos']"
72,CVE-2022-34146,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['transient dos', 'dos', 'improper input validation']"
73,CVE-2022-34310,,None,No,Partial,,False,False,False,False,False,None,
74,CVE-2022-34721,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
75,CVE-2022-34561,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,None,No,Partial,,False,False,False,False,False,None,
76,CVE-2022-24495,,None,No,Total,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
77,CVE-2022-24532,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
78,CVE-2022-24528,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
79,CVE-2022-24816,,Active,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,True,True,False,False,False,Active,"['remote code execution', 'compile jiffle scripts', 'remote code execution as the jiffle script', 'inject malicious code']"
80,CVE-2022-24387,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,[]
81,CVE-2022-24702,,Poc,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,True,Poc,"['malicious packets', 'buffer overflow', 'achieve remote code execution']"
82,CVE-2022-24538,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['windows cluster shared volume (csv)', 'denial of service']"
83,CVE-2022-24492,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
84,CVE-2022-24810,,None,No,Partial,,False,False,False,False,False,None,
85,CVE-2022-24809,,None,No,Partial,,False,False,False,False,False,None,
86,CVE-2022-24805,,None,No,Partial,,False,False,False,False,False,None,
87,CVE-2022-24385,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,"['information disclosure this issue affects: smartertools smartertrack', 'direct object access']"
88,CVE-2022-24541,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['remote code execution']
89,CVE-2022-24384,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,False,True,False,False,False,Poc,"['cross-site scripting', 'xss', 'cross-site scripting (xss)']"
90,CVE-2022-24808,,None,No,Partial,,False,False,False,False,False,None,
91,CVE-2022-24481,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,True,Poc,['windows common log file system driver elevation of privilege']
92,CVE-2022-24479,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['telemetry elevation of privilege']
93,CVE-2022-41100,,None,No,Total,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,False,False,False,False,False,None,['windows advanced local procedure call (alpc) elevation of privilege']
94,CVE-2022-41086,,None,No,Total,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['windows group policy elevation of privilege']
95,CVE-2022-41044,,None,No,Total,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['windows point-to-point tunneling protocol remote code execution', 'remote code execution']"
96,CVE-2022-41122,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,"['spoofing', 'microsoft sharepoint server spoofing']"
97,CVE-2022-41698,,None,No,Partial,,False,False,False,False,False,None,
98,CVE-2022-41050,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['windows extensible file allocation table elevation of privilege']
99,CVE-2022-41057,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['windows http.sys elevation of privilege']
100,CVE-2022-41220,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,True,Poc,['stack-based buffer overflow']
101,CVE-2022-41056,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,['denial of service']
102,CVE-2022-33278,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['memory corruption']
103,CVE-2022-33254,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['reachable assertion', 'transient dos', 'dos']"
104,CVE-2022-33653,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,['elevation of privilege']
105,CVE-2022-33665,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
106,CVE-2022-33171,,Poc,No,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['sql injection', 'function is a user-controlled parsed']"
107,CVE-2022-33652,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,['elevation of privilege']
108,CVE-2022-33279,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['invalid wnm frame length', 'memory corruption', 'stack based buffer overflow']"
109,CVE-2022-33675,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
110,CVE-2022-33291,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,"['malformed length', 'buffer over-read', 'information disclosure']"
111,CVE-2022-33655,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
112,CVE-2022-33643,,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
113,CVE-2022-33244,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['reachable assertion', 'transient dos', 'dos']"
114,CVE-2022-33654,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,['elevation of privilege']
115,CVE-2022-33674,,None,No,Total,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:L,False,False,False,False,False,None,['elevation of privilege']
116,CVE-2022-33661,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
117,CVE-2022-33246,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['memory corruption', 'out-of-range pointer offset']"
118,CVE-2022-33211,,None,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['memory corruption']
119,CVE-2022-33657,,Poc,No,Total,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
120,CVE-2022-33250,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['reachable assertion', 'transient dos', 'dos']"
121,CVE-2022-33230,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['memory corruption', 'buffer copy']"
122,CVE-2022-33288,,None,No,Partial,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,False,False,False,False,False,None,['memory corruption']
123,CVE-2022-33671,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,['elevation of privilege']
124,CVE-2022-33304,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['null pointer dereference', 'transient dos', 'dos']"
125,CVE-2022-46088,,None,No,Partial,,False,False,False,False,False,None,
126,CVE-2022-46169,,Active,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,True,True,True,True,True,Active,"['`gethostbyaddr` will resolve this ip address', 'execute a php script', 'command injection vulnerability', 'fake the ip address of the server running', 'authorization bypass', 'bypass the authentication e.g.', 'execute arbitrary commands', 'make `get_client_addr` (file `lib', 'bypass should be prevented', 'corresponding hostname', 'implementation of the `get_client_addr` function', 'execute arbitrary code', '`proc_open`']"
127,CVE-2022-46345,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['out of bounds write', 'execute code']"
128,CVE-2022-46366,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,None,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['deserialization of untrusted data', 'remote code execution']"
129,CVE-2022-46897,CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:N/A:N,None,No,Partial,,False,False,False,False,False,None,
130,CVE-2022-46966,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,Poc,No,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['sql injection']
131,CVE-2022-23091,,None,No,Partial,,False,False,False,False,False,None,
132,CVE-2022-23093,,None,No,Partial,,False,False,False,False,True,Poc,
133,CVE-2022-23089,,None,No,Partial,,False,False,False,False,False,None,
134,CVE-2022-37959,,None,No,Partial,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,False,None,['security feature bypass']
135,CVE-2022-37410,,None,No,Total,,False,False,False,False,False,None,
136,CVE-2022-37177,,Poc,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,False,False,False,False,True,Poc,['broken or risky cryptographic algorithm']
137,CVE-2022-37992,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['windows group policy elevation of privilege']
138,CVE-2022-37019,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:L,None,No,Partial,,False,False,False,False,False,None,
139,CVE-2022-37598,,Poc,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['prototype pollution']
140,CVE-2022-27948,,None,No,Partial,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,False,False,False,False,False,None,['open the charging port']
141,CVE-2022-27139,,Poc,Yes,Total,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['arbitrary file upload', 'execute arbitrary code', 'only execute javascript', 'does not represent a remote code execution vulnerability']"
142,CVE-2022-42443,,None,No,Partial,,False,False,False,False,False,None,
143,CVE-2022-42974,CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:L/A:L,Poc,No,Total,,False,False,False,False,False,None,
144,CVE-2022-36407,,None,No,Partial,,False,False,False,False,False,None,
145,CVE-2022-36028,,None,Yes,Total,,False,False,False,False,False,None,
146,CVE-2022-26129,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['buffer overflow']
147,CVE-2022-26580,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:L,None,No,Partial,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,"['device', 'command injections']"
148,CVE-2022-26125,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,None,Yes,Partial,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['buffer overflow']
149,CVE-2022-26915,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,['denial of service']
150,CVE-2022-26581,CVSS:3.1/AV:P/AC:L/PR:L/UI:R/S:U/C:L/I:H/A:L,None,No,Partial,CVSS:3.1/AV:P/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['perform privileged actions']
151,CVE-2022-26924,,None,Yes,Partial,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,False,False,False,False,False,None,"['yarp denial of service', 'denial of service']"
152,CVE-2022-26787,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
153,CVE-2022-26801,,None,No,Total,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,False,False,False,False,False,None,['elevation of privilege']
